food_id,food_name,type_of_food,food_genre
13601,Milk Bikks,Cookies/Biscuits,"vegetarian,baked"
22789,Britania Treats,Cookies/Biscuits,"vegetarian,baked"
30230,Strawberry and thyme chicken crepes,Crepes,non vegetarian
18115,Rasberry and thyme chicken crepes,Crepes,non vegetarian
11981,blueberry chicken crepes,Crepes,non vegetarian
11917,Strawberry crepes,Crepes,vegetarian
205,Rasberry crepes,Crepes,vegetarian
32282,blueberry crepes,Crepes,vegetarian
6594,Outgow,Protien Bars,"vegan,gluten free,healthy"
11979,Tar,Protien Bars,"vegan,healthy"
7655,Dow,Protien Bars,"non vegetarian,healthy"
2246,Phicier,Protien Bars,"vegetarian,gluten free,healthy"
25835,Xipoo,Protien Bars,"vegan,gluten free,healthy"
2921,Anteoil,Protien Bars,"vegetarian,gluten free,healthy"
136,Transill,Protien Bars,"non vegetarian,healthy"
30503,Scarnosm,Protien Bars,"vegetarian,gluten free,healthy"
12531,Aesci,Protien Bars,"vegetarian,gluten free,healthy"
523,Hypernism,Protien Bars,"non vegetarian,healthy"
467,Gallbtion,Energy Bars,"non vegetarian,healthy"
572,Dall,Energy Bars,"vegan,healthy"
19815,Yiq,Energy Bars,"vegan,healthy"
2559,Wenred,Energy Bars,"non vegetarian,healthy"
392,Wovake,Energy Bars,"vegan,healthy"
486,Microoke,Energy Bars,"non vegetarian,healthy"
11771,Antiug,Energy Bars,"vegetarian,gluten free,healthy"
1698,Carreck,Energy Bars,"vegetarian,gluten free,healthy"
5341,Uuce,Energy Bars,"non vegetarian,healthy"
25781,Ramya Murukku,International ,"vegetarian, fried "
10863,Ammi's Chakili,International ,"vegetarian, fried"
28701,Tea Time Cake,Cakes,"vegetarian,baked,sweet"
5420,Fage ,Yogurt ,vegetarian
9260,Swwetuuon,Yogurt ,"vegan,healthy"
32,Intratug,Yogurt ,"vegetarian,healthy"
4224,Nonfoom,Yogurt ,"vegan,healthy"
2236,Nuld,Yogurt ,"vegetarian,healthy"
2685,Cewn,Yogurt ,"non vegetarian,healthy"
31181,Pletop,Bread Products,"non vegetarian,baked,sweet"
45,Ximness,Bread Products,vegetarian
2418,Demiat,Bread Products,"vegetarian,baked,salty"
1365,Binop,Bread Products,non vegetarian
22297,Azurn,Bread Products,"vegetarian,healthy"
627,Usno,Bread Products,"vegetarian,baked,sweet"
10937,Hemilled,Bread Products,"non vegetarian,healthy"
23755,Carworn,Bread Products,"non vegetarian,baked,salty"
4081,Kapp,Cookies/Biscuits,"non vegetarian,baked"
4155,Xend,Cookies/Biscuits,"vegetarian,gluten free,healthy"
1889,Vawain,Cookies/Biscuits,"vegetarian,gluten free,healthy"
137,Gitoop,Cakes,"vegan,healthy"
139,Contraaw,Cakes,"vegetarian,baked"
23317,Staoat,Cakes,"vegetarian,baked"
558,Transhind,Cakes,"non vegetarian,baked,sweet"
5040,Amua,International ,"vegetarian, fried "
57,Xin Xang,International ,"vegetarian, fried "
33,Poki Sushi,International ,"non vegetarian, fried "
5,Hot pot dumplings,International ,"vegetarian,frozen food"
1842,Anni's Murukku,International ,"vegetarian, fried "
6336,Nani's Chakili ,International ,"non vegetarian,frozen food"
20651,Frioko wonton,International ,"vegetarian,frozen food"
1210,Frioko chicken wonton ,International ,"non vegetarian,frozen food"
338,Charcment,Cakes,"vegan,healthy"
13759,Contradless,Bread Products,vegan
6547,Nash,Bread Products,"vegan,healthy"
5081,Smint,International ,vegan
32867,Bekoof,Bread Products,vegan
264,Qesive,Yogurt ,"vegan,healthy"
12859,Synouse,Bread Products,vegan
853,Microick,Cookies/Biscuits,vegan
5460,Transpown,Crepes,vegan
6746,Awio,International ,vegan
5690,Debible,Cakes,"vegetarian,baked,sweet"
329,Decat,Jams,vegetarian
34240,Bang,Cakes,"vegetarian,baked,sweet"
513,Twus,Bread Products,"vegetarian,baked"
6945,Docness,International ,"vegetarian,frozen food"
1142,Stoxoop,International ,"vegetarian,frozen food"
6811,Shaool,International ,"vegetarian,frozen food"
16664,Synoot,Cakes,"vegetarian,baked"
1604,Binxing,Cookies/Biscuits,"vegetarian,baked"
22145,Ivlo,Bread Products,"vegetarian,baked"
2966,Comsad,Bread Products,"non vegetarian,baked"
31964,Probage,Cakes,non vegetarian
19363,Gista,Bread Products,"non vegetarian,baked,salty"
18195,Faxi,Bread Products,"non vegetarian,baked"
9890,Knumzed,Cakes,"non vegetarian,sweet"
9130,Wrifouse,International ,"non vegetarian,frozen food"
9863,Quinaw,Cookies/Biscuits,"non vegetarian,baked"
7674,Triacy,Cakes,"vegan,healthy"
11843,Hyperney,Bread Products,vegan
16782,Asu,Bread Products,"vegan,healthy"
28675,Semimick,International ,vegan
3226,Sublify,Bread Products,vegan
21557,Losa,Yogurt ,"vegan,healthy"
31715,Mefo,Bread Products,vegan
43,Clezity,Cookies/Biscuits,vegan
9617,Sherad,Crepes,vegan
31051,Irought,International ,vegan
10153,Ilile,Cakes,"vegetarian,baked,sweet"
1033,Intrahash,Jams,vegetarian
32188,Aaqa,Cakes,"vegetarian,baked,sweet"
3091,Endell,Bread Products,"vegetarian,baked"
12115,Gallmake,International ,"vegetarian,frozen food"
28223,Lit,International ,"vegetarian,frozen food"
121,Yaq,International ,"vegetarian,frozen food"
3002,Srekence,Cakes,"vegetarian,baked"
138,Growier,Cookies/Biscuits,"vegetarian,baked"
6675,Hyperouse,Bread Products,"vegetarian,baked"
10800,Exous,Bread Products,"non vegetarian,baked"
32005,Outsiz,Cakes,non vegetarian
813,Oescio,Bread Products,"non vegetarian,baked,salty"
27821,Trangip,Bread Products,"non vegetarian,baked"
28725,Syncish,Cakes,"non vegetarian,sweet"
585,Sches,International ,"non vegetarian,frozen food"
16067,Ghete,Cookies/Biscuits,"non vegetarian,baked"
30,Plohy,Cookies/Biscuits,"vegetarian,baked"
31490,Clurin,Cookies/Biscuits,"vegetarian,baked"
759,Bision,Cookies/Biscuits,"vegetarian,baked"
6,Antision,Cookies/Biscuits,"vegetarian,baked"
6864,Deges,Cookies/Biscuits,"vegetarian,baked"
9735,Uchu,Crepes,non vegetarian
11977,Unmen,Crepes,non vegetarian
11123,Dilook,Crepes,non vegetarian
23847,Drenk,Crepes,vegetarian
33161,Twimpe,Crepes,vegetarian
962,Kurfy,Crepes,vegetarian
1519,Vlacence,Protien Bars,"vegan,gluten free,healthy"
2167,Biacy,Protien Bars,"vegan,healthy"
16706,Aile,Protien Bars,"non vegetarian,healthy"
5681,Syndist,Protien Bars,"vegetarian,gluten free,healthy"
3901,Easna,Protien Bars,"vegan,gluten free,healthy"
6467,Trixous,Protien Bars,"vegetarian,gluten free,healthy"
10271,Uniwious,Protien Bars,"non vegetarian,healthy"
22507,Whaqa,Protien Bars,"vegetarian,gluten free,healthy"
3701,Glep,Protien Bars,"vegetarian,gluten free,healthy"
19123,Flanite,Protien Bars,"non vegetarian,healthy"
33255,Padfy,Energy Bars,"non vegetarian,healthy"
372,Comers,Energy Bars,"vegan,healthy"
265,Intraide,Energy Bars,"vegan,healthy"
25681,Ducew,Energy Bars,"non vegetarian,healthy"
4722,Istui,Energy Bars,"vegan,healthy"
24277,Anbunk,Energy Bars,"non vegetarian,healthy"
239,Extrawdom,Energy Bars,"vegetarian,gluten free,healthy"
512,Jush,Energy Bars,"vegetarian,gluten free,healthy"
4477,Vism,Energy Bars,"non vegetarian,healthy"
15323,Jatip,International ,"vegetarian, fried "
31174,Sepdom,International ,"vegetarian, fried"
23327,Anteise,Cakes,"vegetarian,baked,sweet"
5365,Contraish,Yogurt ,vegetarian
3702,Azick,Yogurt ,"vegan,healthy"
3167,Oetiu,Yogurt ,"vegetarian,healthy"
7465,Irzeel,Chocolates,"vegetarian, chocolate,salty"
7054,Hyperzest,Chocolates,"vegetarian, chocolate,sweet"
1257,Wum,Chocolates,"vegetarian, chocolate, waffer"
23283,Krosh,Chocolates,"vegetarian, chocolate, waffer"
2025,Srudtion,Chocolates,"vegetarian, dark chocolate, bitter"
235,Japful,Chocolates,"vegetarian, chocolate,sweet"
1364,Intrauck,Protien Bars,"non vegetarian,healthy"
18689,Autouck,Energy Bars,"non vegetarian,healthy"
22043,Monotut,Energy Bars,"vegan,healthy"
31988,Iekua,Energy Bars,"vegan,healthy"
20899,Leexo,Energy Bars,"non vegetarian,healthy"
1453,Youopia,Energy Bars,"non vegetarian,healthy"
23623,Blogspan,International ,vegan
1559,Geba,Cakes,"vegetarian,baked,sweet"
1382,Topicstorm,Jams,vegetarian
23289,Cogilith,Cakes,"vegetarian,baked,sweet"
18,Aimbo,Bread Products,"vegetarian,baked"
4814,Mybuzz,International ,"vegetarian,frozen food"
16662,Dabshots,International ,"vegetarian,frozen food"
12031,Eare,International ,"vegetarian,frozen food"
8129,Nlounge,Cakes,"vegetarian,baked"
14513,Bubbletube,Cookies/Biscuits,"vegetarian,baked"
2581,Devshare,Bread Products,"vegetarian,baked"
30015,Zooveo,Bread Products,"non vegetarian,baked"
6171,Kwinu,Cakes,non vegetarian
1827,Zoovu,Bread Products,"non vegetarian,baked,salty"
25013,Fatz,Bread Products,"non vegetarian,baked"
1367,Latz,Cakes,"non vegetarian,sweet"
27833,Devbug,International ,"non vegetarian,frozen food"
26213,Flashspan,Cookies/Biscuits,"non vegetarian,baked"
1974,Edgepulse,International ,"non vegetarian,frozen food"
8425,Rooxo,Cakes,"non vegetarian,baked"
12069,Jabbersphere,Cakes,"vegan,healthy"
185,Divanoodle,Bread Products,vegan
18679,Dynabox,Bread Products,"vegan,healthy"
2034,Voolith,International ,vegan
437,Skynoodle,Bread Products,vegan
721,Skippad,Yogurt ,"vegan,healthy"
12477,Yombu,Bread Products,vegan
4938,Dabvine,Cookies/Biscuits,vegan
2402,Buzzbean,Crepes,vegan
6702,Kanoodle,International ,vegan
1566,Livefish,Cakes,"vegetarian,baked,sweet"
31741,Jaxworks,Jams,vegetarian
440,Zooxo,Cakes,"vegetarian,baked,sweet"
4107,Lazz,Bread Products,"vegetarian,baked"
1506,Demimbu,International ,"vegetarian,frozen food"
2759,Demizz,International ,"vegetarian,frozen food"
72,Edgeify,International ,"vegetarian,frozen food"
3016,Ooba,Cakes,"vegetarian,baked"
3783,Quinu,Cookies/Biscuits,"vegetarian,baked"
3927,Babbleopia,Bread Products,"vegetarian,baked"
11597,Devify,Bread Products,"non vegetarian,baked"
28025,Layo,Cakes,non vegetarian
24833,Rhyzio,Bread Products,"non vegetarian,baked,salty"
29893,Kamba,Bread Products,"non vegetarian,baked"
27663,Photobug,Cakes,"non vegetarian,sweet"
1482,Blognation,International ,"non vegetarian,frozen food"
3371,Yotz,Cookies/Biscuits,"non vegetarian,baked"
25313,Livetube,International ,"non vegetarian,frozen food"
1430,Rhybox,Cakes,"non vegetarian,baked"
33051,Vinte,Cakes,"non vegetarian,baked"
7720,Twiyo,Candy,"vegetarian,sweet,artificial flavours"
1914,Meeveo,Candy,"vegetarian,sweet,artificial flavours"
20371,Vipe,Candy,"vegetarian,sweet,artificial flavours"
15039,Livepath,Candy,"vegetarian,sweet,artificial flavours"
2164,Quatz,Candy,"vegetarian,sweet,artificial flavours"
237,Browseblab,Candy,"vegetarian,sweet,artificial flavours,gluten free"
2449,Skipstorm,Candy,"vegetarian,sweet,artificial flavours"
10643,Feedmix,Candy,"vegetarian,sweet,artificial flavours"
17739,Fivespan,Candy,"vegetarian,sweet,artificial flavours,gluten free"
135,Minyx,Candy,"vegetarian,sweet,artificial flavours"
6045,Gigaclub,Chips,"vegetarian,baked"
16001,Jaxspan,Chips,"vegetarian,baked, cheese"
6211,Skidoo,Chips,"vegetarian,baked, spicy"
232,Tanoodle,Chips,"vegetarian,baked,salty"
4789,Yodo,Chips,"vegetarian,baked, cheese"
16918,Dynazzy,Chips,"vegetarian,baked, spicy"
16,Fliptune,Chips,"vegetarian,baked,salty "
1486,Riffpedia,Chips,"vegetarian,baked, cheese"
24997,Tagfeed,Chips,"vegetarian,baked"
32902,Aimbu,Chips,"vegetarian,baked, spicy"
8063,Youfeed,Chocolates,"vegan, chocolate,gluten free,sweet"
25879,Rhyloo,Chocolates,"vegan, chocolate,gluten free,salty"
889,Photolist,Chocolates,"vegan, dark chocolate,gluten free, bitter"
21419,Podcat,Chocolates,"vegan, chocolate,gluten free,sweet"
2952,Babbleblab,Chocolates,"vegan, chocolate,salty"
934,Flipstorm,Chocolates,"vegan, chocolate, extra dark"
12189,Topdrive,Chocolates,"vegan, chocolate, extra dark"
731,Agivu,Chocolates,"vegan, dark chocolate,gluten free, bitter"
1530,Voolia,Candy,"vegetarian,sweet, fruit flavours,gluten free"
9656,Pixoboo,Candy,"vegetarian,sweet, fruit flavours "
20507,Yodel,Candy,"vegetarian,sweet, fruit flavours "
31149,Oyoba,Candy,"vegetarian,sweet, fruit flavours,gluten free"
4918,Oyoyo,Candy,"vegetarian,sweet, fruit flavours "
14075,Einti,Chocolates,"vegetarian, chocolate,gluten free,sweet"
4772,Brainbox,Chocolates,"vegetarian, chocolate, caramel"
781,Brightbean,Chocolates,"vegetarian, dark chocolate,gluten free, bitter"
1363,Jatri,Chocolates,"vegetarian, chocolate,gluten free,sweet"
223,Vidoo,Chocolates,"vegetarian, chocolate,salty"
2004,Mudo,Chocolates,"vegetarian, chocolate,sweet"
25649,Janyx,Chocolates,"vegetarian, chocolate, waffer"
153,Npath,Chocolates,"vegetarian, chocolate, waffer"
5029,Trudoo,Chocolates,"vegetarian, dark chocolate, bitter"
302,Roombo,Chocolates,"vegetarian, chocolate,sweet"
8740,Blogpad,Chocolates,"vegetarian, chocolate,sweet, almonds"
5682,Skiba,Chocolates,"vegetarian, chocolate, caramel"
21647,Meejo,Chips,"vegan,baked"
16049,Browsezoom,Chips,"vegan,baked, cheese"
1065,Eazzy,Chips,"vegan,baked, spicy"
18179,Youspan,Chips,"vegan,baked,salty"
47,Feedspan,Chips,"vegan,baked, cheese"
4901,Jabbertype,Chips,"vegan,baked, spicy"
23199,Shuffledrive,Chips,"vegan,baked,salty "
32122,Jabbercube,Chips,"vegan,baked, cheese"
30415,Meezzy,Chips,"vegan,baked"
851,Katz,Chips,"vegan,baked, spicy"
10049,Realbridge,Chips,"non vegetarian,baked"
1943,Agimba,Chips,"non vegetarian,baked, cheese"
4053,Oodoo,Chips,"non vegetarian,baked, spicy"
846,Jaxbean,Chips,"non vegetarian,baked,salty"
9926,Kwideo,Chips,"non vegetarian,baked, cheese"
31173,Skyvu,Chips,"non vegetarian,baked, spicy"
4059,Twinder,Chips,"non vegetarian,baked,salty "
589,Browsecat,Chips,"non vegetarian,baked, cheese"
15059,Gigazoom,Chips,"non vegetarian,baked"
7791,Thoughtstorm,Chips,"non vegetarian,baked, spicy"
17265,Bluezoom,Cookies/Biscuits,"vegetarian,baked"
20815,Zoomzone,Cookies/Biscuits,"vegetarian,baked"
535,Trilith,Cookies/Biscuits,"vegetarian,baked"
2563,Divape,Cookies/Biscuits,"vegetarian,baked"
9963,Meedoo,Cookies/Biscuits,"vegetarian,baked"
32551,Feedfish,Crepes,non vegetarian
2951,Wordtune,Crepes,non vegetarian
2762,Feedbug,Crepes,non vegetarian
14713,Jamia,Crepes,vegetarian
14807,Riffwire,Crepes,vegetarian
81,Topiczoom,Crepes,vegetarian
9204,Dynava,Protien Bars,"vegan,gluten free,healthy"
31098,Gevee,Protien Bars,"vegan,healthy"
1023,Shufflebeat,Protien Bars,"non vegetarian,healthy"
33253,Oyope,Protien Bars,"vegetarian,gluten free,healthy"
24921,Zazio,Protien Bars,"vegan,gluten free,healthy"
1471,Yozio,Protien Bars,"vegetarian,gluten free,healthy"
27831,Bubblemix,Protien Bars,"non vegetarian,healthy"
2924,Topiclounge,Protien Bars,"vegetarian,gluten free,healthy"
4672,Twitternation,Protien Bars,"vegetarian,gluten free,healthy"
2448,Centimia,Protien Bars,"non vegetarian,healthy"
3907,Skivee,Energy Bars,"non vegetarian,healthy"
186,Yata,Energy Bars,"vegan,healthy"
10080,Ntags,Energy Bars,"vegan,healthy"
30885,Edgetag,Energy Bars,"non vegetarian,healthy"
21469,Oyondu,Energy Bars,"vegan,healthy"
9941,Kimia,Energy Bars,"non vegetarian,healthy"
14813,Tagcat,Energy Bars,"vegetarian,gluten free,healthy"
6421,Camido,Energy Bars,"vegetarian,gluten free,healthy"
21855,JumpXS,Energy Bars,"non vegetarian,healthy"
11739,Fiveclub,International ,"vegetarian, fried "
2159,Flashdog,International ,"vegetarian, fried"
28297,Jazzy,Cakes,"vegetarian,baked,sweet"
29831,Tazz,Yogurt ,vegetarian
2154,Midel,Yogurt ,"vegan,healthy"
6505,Skyba,Yogurt ,"vegetarian,healthy"
861,Skyndu,Yogurt ,"vegan,healthy"
1689,Brainlounge,Yogurt ,"vegetarian,healthy"
34103,Dazzlesphere,Yogurt ,"non vegetarian,healthy"
3665,Eidel,Bread Products,"non vegetarian,baked,sweet"
9996,Skajo,Bread Products,vegetarian
7711,Yakijo,Bread Products,"vegetarian,baked,salty"
77,Innotype,Bread Products,non vegetarian
401,Camimbo,Bread Products,"vegetarian,healthy"
32093,Innojam,Bread Products,"vegetarian,baked,sweet"
12113,Skaboo,Bread Products,"non vegetarian,healthy"
7338,Aivee,Bread Products,"non vegetarian,baked,salty"
32613,Gabtune,Cookies/Biscuits,"non vegetarian,baked"
3014,Dabtype,Cookies/Biscuits,"vegetarian,gluten free,healthy"
645,Jaloo,Cookies/Biscuits,"vegetarian,gluten free,healthy"
11135,Fivechat,Cakes,"vegan,healthy"
5781,Oyoloo,Cakes,"vegetarian,baked"
13767,Plajo,Cakes,"vegetarian,baked"
5678,Tekfly,Cakes,"non vegetarian,baked,sweet"
6774,Yabox,International ,"vegetarian, fried "
1089,Mynte,International ,"vegetarian, fried "
25161,Realcube,International ,"non vegetarian, fried "
995,Zava,International ,"vegetarian,frozen food"
2752,Avavee,International ,"vegetarian, fried "
15,Yakitri,International ,"non vegetarian,frozen food"
122,Thoughtblab,International ,"vegetarian,frozen food"
29095,Kare,International ,"non vegetarian,frozen food"
1594,Zoomdog,Cakes,"vegan,healthy"
3092,Twitterlist,Bread Products,vegan
10721,Jabberbean,Bread Products,"vegan,healthy"
16395,Fivebridge,International ,vegan
3588,Blogtag,Bread Products,vegan
4106,Browsetype,Yogurt ,"vegan,healthy"
387,Teklist,Bread Products,vegan
16916,Muxo,Cookies/Biscuits,vegan
1088,Babbleset,Crepes,vegan
10620,Yambee,International ,vegan
2143,Oozz,Cakes,"vegetarian,baked,sweet"
6582,Jetpulse,Jams,vegetarian
2158,Photospace,Cakes,"vegan,healthy"
22319,Jayo,Bread Products,vegan
11113,Mita,Bread Products,"vegan,healthy"
6586,Browsedrive,International ,vegan
66,Eabox,Bread Products,vegan
8142,Leenti,Yogurt ,"vegan,healthy"
6438,Ntag,Bread Products,vegan
33032,Linkbuzz,Cookies/Biscuits,vegan
227,Zoombox,Crepes,vegan
73,Skimia,International ,vegan
4898,Shufflester,Cakes,"vegetarian,baked,sweet"
19111,Trilia,Jams,vegetarian
7222,Yacero,Cakes,"vegetarian,baked,sweet"
22097,Skinder,Bread Products,"vegetarian,baked"
15689,Tagopia,International ,"vegetarian,frozen food"
957,Youbridge,International ,"vegetarian,frozen food"
24,Gigabox,International ,"vegetarian,frozen food"
33286,Topicshots,Cakes,"vegetarian,baked"
849,Feednation,Cookies/Biscuits,"vegetarian,baked"
2623,Dablist,Bread Products,"vegetarian,baked"
268,Browsebug,Bread Products,"non vegetarian,baked"
29093,Wikizz,Cakes,non vegetarian
427,Buzzster,Bread Products,"non vegetarian,baked,salty"
4280,Flipbug,Bread Products,"non vegetarian,baked"
18429,Quamba,Cakes,"non vegetarian,sweet"
17549,Demivee,International ,"non vegetarian,frozen food"
26123,Dabfeed,Cookies/Biscuits,"non vegetarian,baked"
28,Skyble,International ,"non vegetarian,frozen food"
9513,Wikibox,Cakes,"non vegetarian,baked"
14353,Photobean,Cakes,"non vegetarian,baked"
8408,Rhycero,Candy,"vegetarian,sweet,artificial flavours"
13331,Voonder,Candy,"vegetarian,sweet,artificial flavours"
4985,Edgeclub,Candy,"vegetarian,sweet,artificial flavours"
29803,Kaymbo,Candy,"vegetarian,sweet,artificial flavours"
22,Realpoint,Candy,"vegetarian,sweet,artificial flavours"
2618,Oloo,Candy,"vegetarian,sweet,artificial flavours,gluten free"
793,Trupe,Candy,"vegetarian,sweet,artificial flavours"
30279,Wordify,Candy,"vegetarian,sweet,artificial flavours"
28755,Pixonyx,Candy,"vegetarian,sweet,artificial flavours,gluten free"
10029,Flashpoint,Candy,"vegetarian,sweet,artificial flavours"
2035,Twimm,Chips,"vegetarian,baked"
790,Plambee,Chips,"vegetarian,baked, cheese"
9289,Devcast,Chips,"vegetarian,baked, spicy"
15809,Flipopia,Chips,"vegetarian,baked,salty"
27989,Eamia,Chips,"vegetarian,baked, cheese"
5630,Leexo,Chips,"vegetarian,baked, spicy"
2829,Aibox,Chips,"vegetarian,baked,salty "
30831,Eayo,Chips,"vegetarian,baked, cheese"
416,Zoonder,Chips,"vegetarian,baked"
85,Oba,Chips,"vegetarian,baked, spicy"
